"","Country_Region","Date","Confirmed","Deaths","Recovered"
"1","China",2020-01-22,548,17,28
"2","China",2020-01-23,643,18,30
"3","China",2020-01-24,920,26,36
"4","China",2020-01-25,1406,42,39
"5","China",2020-01-26,2075,56,49
"6","China",2020-01-27,2877,82,58
"7","China",2020-01-28,5509,131,101
"8","China",2020-01-29,6087,133,120
"9","China",2020-01-30,8141,171,135
"10","China",2020-01-31,9802,213,214
"11","China",2020-02-01,11891,259,275
"12","China",2020-02-02,16630,361,463
"13","China",2020-02-03,19716,425,614
"14","China",2020-02-04,23707,491,843
"15","China",2020-02-05,27440,563,1115
"16","China",2020-02-06,30587,633,1477
"17","China",2020-02-07,34110,718,1999
"18","China",2020-02-08,36814,805,2596
"19","China",2020-02-09,39829,905,3219
"20","China",2020-02-10,42354,1012,3918
"21","China",2020-02-11,44386,1112,4636
"22","China",2020-02-12,44759,1117,5082
"23","China",2020-02-13,59895,1369,6217
"24","China",2020-02-14,66358,1521,7977
"25","China",2020-02-15,68413,1663,9298
"26","China",2020-02-16,70513,1766,10755
"27","China",2020-02-17,72434,1864,12462
"28","China",2020-02-18,74211,2003,14206
"29","China",2020-02-19,74619,2116,15962
"30","China",2020-02-20,75077,2238,18014
"31","China",2020-02-21,75550,2238,18704
"32","China",2020-02-22,77001,2443,22699
"33","China",2020-02-23,77022,2445,23187
"34","China",2020-02-24,77241,2595,25015
"35","China",2020-02-25,77754,2665,27676
"36","China",2020-02-26,78166,2717,30084
"37","China",2020-02-27,78600,2746,32930
"38","China",2020-02-28,78928,2790,36329
"39","China",2020-02-29,79356,2837,39320
"40","China",2020-03-01,79932,2872,42162
"41","China",2020-03-02,80136,2914,44854
"42","China",2020-03-03,80261,2947,47450
"43","China",2020-03-04,80386,2983,50001
"44","China",2020-03-05,80537,3015,52292
"45","China",2020-03-06,80690,3044,53944
"46","China",2020-03-07,80770,3072,55539
"47","China",2020-03-08,80823,3100,57388
"48","China",2020-03-09,80860,3123,58804
"49","China",2020-03-10,80887,3139,60181
"50","China",2020-03-11,80921,3161,61644
"51","China",2020-03-12,80932,3172,62901
"52","China",2020-03-13,80945,3180,64196
"53","China",2020-03-14,80977,3193,65660
"54","China",2020-03-15,81003,3203,67017
"55","China",2020-03-16,81033,3217,67910
"56","China",2020-03-17,81058,3230,68798
"57","China",2020-03-18,81102,3241,69755
"58","China",2020-03-19,81156,3249,70535
"59","China",2020-03-20,81250,3253,71266
"60","China",2020-03-21,81305,3259,71857
"61","China",2020-03-22,81435,3274,72362
"62","China",2020-03-23,81498,3274,72814
"63","China",2020-03-24,81591,3281,73280
"64","China",2020-03-25,81661,3285,73773
"65","China",2020-03-26,81782,3291,74181
"66","China",2020-03-27,81897,3296,74720
"67","China",2020-03-28,81999,3299,75100
"68","China",2020-03-29,82122,3304,75582
"69","China",2020-03-30,82198,3308,75923
"70","China",2020-03-31,82279,3309,76206
"71","China",2020-04-01,82361,3316,76405
"72","China",2020-04-02,82432,3322,76565
"73","China",2020-04-03,82511,3326,76760
"74","China",2020-04-04,82543,3330,76946
"75","China",2020-04-05,82602,3333,77207
"76","China",2020-04-06,82665,3335,77310
"77","China",2020-04-07,82718,3335,77410
"78","Japan",2020-01-22,2,0,0
"79","Japan",2020-01-23,2,0,0
"80","Japan",2020-01-24,2,0,0
"81","Japan",2020-01-25,2,0,0
"82","Japan",2020-01-26,4,0,1
"83","Japan",2020-01-27,4,0,1
"84","Japan",2020-01-28,7,0,1
"85","Japan",2020-01-29,7,0,1
"86","Japan",2020-01-30,11,0,1
"87","Japan",2020-01-31,15,0,1
"88","Japan",2020-02-01,20,0,1
"89","Japan",2020-02-02,20,0,1
"90","Japan",2020-02-03,20,0,1
"91","Japan",2020-02-04,22,0,1
"92","Japan",2020-02-05,22,0,1
"93","Japan",2020-02-06,22,0,1
"94","Japan",2020-02-07,25,0,1
"95","Japan",2020-02-08,25,0,1
"96","Japan",2020-02-09,26,0,1
"97","Japan",2020-02-10,26,0,4
"98","Japan",2020-02-11,26,0,9
"99","Japan",2020-02-12,28,0,9
"100","Japan",2020-02-13,28,1,9
"101","Japan",2020-02-14,29,1,9
"102","Japan",2020-02-15,43,1,12
"103","Japan",2020-02-16,59,1,12
"104","Japan",2020-02-17,66,1,12
"105","Japan",2020-02-18,74,1,13
"106","Japan",2020-02-19,84,1,18
"107","Japan",2020-02-20,94,1,18
"108","Japan",2020-02-21,105,1,22
"109","Japan",2020-02-22,122,1,22
"110","Japan",2020-02-23,147,1,22
"111","Japan",2020-02-24,159,1,22
"112","Japan",2020-02-25,170,1,22
"113","Japan",2020-02-26,189,2,22
"114","Japan",2020-02-27,214,4,22
"115","Japan",2020-02-28,228,4,22
"116","Japan",2020-02-29,241,5,32
